first_name,last_name,city,state,shirt_or_hat,quiz_points,team,signup,id_number,company,state_name,state_abbrev,region,division
Teresa,Martinez,Springfield,MA,hat,100,green,2016-04-28,9553,Boehm-Shields,Massachusetts,MA,Northeast,New England
Catherine,Rodriguez,Rochester,NY,hat,90,red,2014-08-12,9554,"Kemmer, Trantow and Wuckert",New York,NY,Northeast,Middle Atlantic
Lawrence,Hill,Saint Petersburg,FL,shirt,80,blue,2014-01-04,9555,,Florida,FL,South,South Atlantic
Ann,Adams,Lincoln,NE,shirt,80,green,2016-06-15,9556,Mertz Group,Nebraska,NE,Midwest,West North Central
Victor,Shaw,Olympia,WA,hat,90,red,2016-03-29,9557,Spinka and Sons,Washington,WA,West,Pacific
Fred,Peters,Pittsburgh,PA,hat,100,blue,2015-07-19,9558,Collier Inc,Pennsylvania,PA,Northeast,Middle Atlantic
Jerry,Henderson,Tucson,AZ,shirt,100,green,2016-04-02,9559,"Boehm, Ziemann and Maggio",Arizona,AZ,West,Mountain
Philip,Ray,Brooklyn,NY,hat,10,red,2014-12-02,9560,White Group,New York,NY,Northeast,Middle Atlantic
James,Morrison,Bradenton,FL,hat,80,blue,2015-02-11,9561,Keebler Inc,Florida,FL,South,South Atlantic
Lawrence,Hart,Jacksonville,FL,shirt,100,green,2016-02-24,9562,Renner Group,Florida,FL,South,South Atlantic
Willie,Thomas,Wilkes Barre,PA,hat,100,red,2015-04-16,9563,Schimmel Inc,Pennsylvania,PA,Northeast,Middle Atlantic
Richard,White,Reston,VA,hat,90,blue,2014-12-15,9564,Morar-Gulgowski,Virginia,VA,South,South Atlantic
Laura,Brown,Miami,FL,shirt,70,green,2016-01-19,9565,,Florida,FL,South,South Atlantic
Keith,Ferguson,Jefferson City,MO,hat,80,red,2015-12-20,9566,Purdy-Hahn,Missouri,MO,Midwest,West North Central
Doris,Cruz,Saint Petersburg,FL,hat,80,blue,2016-01-31,9567,,Florida,FL,South,South Atlantic
Rose,Williams,Fort Lauderdale,FL,shirt,80,green,2015-02-13,9568,"Heaney, Pouros and Crist",Florida,FL,South,South Atlantic
Nicole,Banks,San Francisco,CA,shirt,50,red,2016-07-13,9569,Collins Group,California,CA,West,Pacific
Teresa,Oliver,Arvada,CO,hat,90,blue,2015-05-18,9570,Frami and Sons,Colorado,CO,West,Mountain
Rose,Kelley,Wichita,KS,hat,60,green,2015-04-27,9571,Green-Lind,Kansas,KS,Midwest,West North Central
Brian,Palmer,Fresno,CA,shirt,30,red,2016-02-02,9572,,California,CA,West,Pacific
Philip,Carr,New York City,NY,hat,10,blue,2015-06-08,9573,"Shanahan, DuBuque and Treutel",New York,NY,Northeast,Middle Atlantic
Sharon,Foster,Detroit,MI,hat,70,green,2016-06-24,9574,Connelly-Fay,Michigan,MI,Midwest,East North Central
Douglas,Williamson,Houston,TX,shirt,30,red,2015-04-02,9575,Bashirian LLC,Texas,TX,South,West South Central
Dennis,Harper,Fort Lauderdale,FL,shirt,20,blue,2015-04-24,9576,Metz-Kling,Florida,FL,South,South Atlantic
Roy,Rivera,Minneapolis,MN,shirt,60,green,2015-12-23,9577,"Hayes, Greenfelder and Schulist",Minnesota,MN,Midwest,West North Central
Billy,Marshall,Salinas,CA,shirt,90,red,2015-09-17,9578,Heidenreich-Reynolds,California,CA,West,Pacific
Louise,Knight,Fort Smith,AR,hat,30,blue,2014-04-12,9579,Windler-Ondricka,Arkansas,AR,South,West South Central
Jennifer,Lawson,Des Moines,IA,hat,80,green,2015-09-27,9580,Schumm-Jakubowski,Iowa,IA,Midwest,West North Central
Kevin,Martinez,Denver,CO,hat,90,red,2014-01-25,9581,Rowe-Ferry,Colorado,CO,West,Mountain
Carol,Matthews,Shawnee Mission,KS,hat,90,blue,2015-01-04,9582,"Hirthe, Barton and McGlynn",Kansas,KS,Midwest,West North Central
Kimberly,Fernandez,Allentown,PA,hat,100,green,2014-09-16,9583,Dicki Group,Pennsylvania,PA,Northeast,Middle Atlantic
Matthew,Bowman,Raleigh,NC,hat,20,red,2015-06-03,9584,"Lesch, Mante and Durgan",North Carolina,NC,South,South Atlantic
Annie,Greene,Miami,FL,hat,20,blue,2015-02-11,9585,Cormier-Altenwerth,Florida,FL,South,South Atlantic
Anthony,Day,Norfolk,VA,shirt,100,green,2014-03-01,9586,Prohaska LLC,Virginia,VA,South,South Atlantic
Jack,Gutierrez,Milwaukee,WI,shirt,100,red,2016-10-23,9587,Schmeler Group,Wisconsin,WI,Midwest,East North Central
William,Richardson,Richmond,VA,hat,40,blue,2013-12-26,9588,"Corwin, Kulas and Wilderman",Virginia,VA,South,South Atlantic
Howard,Gilbert,Syracuse,NY,hat,90,green,2014-11-11,9589,Wilkinson-Jacobson,New York,NY,Northeast,Middle Atlantic
Angela,Martinez,Memphis,TN,hat,50,red,2016-06-18,9590,Prosacco-Beatty,Tennessee,TN,South,East South Central
Shirley,Green,Tacoma,WA,hat,10,blue,2014-07-20,9591,,Washington,WA,West,Pacific
Sarah,Payne,Corpus Christi,TX,hat,90,green,2016-05-28,9592,,Texas,TX,South,West South Central
Donna,Carr,West Palm Beach,FL,shirt,90,red,2014-12-16,9593,"Bins, Schneider and Rutherford",Florida,FL,South,South Atlantic
Philip,Kim,Sacramento,CA,hat,10,blue,2015-02-18,9594,"Rodriguez, Schroeder and Rippin",California,CA,West,Pacific
Joyce,Marshall,Erie,PA,hat,70,green,2014-04-04,9595,Moen-Gutkowski,Pennsylvania,PA,Northeast,Middle Atlantic
Jesse,Jenkins,Lakewood,WA,shirt,20,red,2014-11-30,9596,Nitzsche-Veum,Washington,WA,West,Pacific
Robert,Hart,Richmond,VA,shirt,90,blue,2016-07-27,9597,"White, Herman and Bailey",Virginia,VA,South,South Atlantic
Kelly,Perkins,New Orleans,LA,hat,100,green,2014-09-06,9598,Herman Inc,Louisiana,LA,South,West South Central
James,Murray,Cincinnati,OH,shirt,40,red,2016-09-30,9599,Trantow-Carroll,Ohio,OH,Midwest,East North Central
Michael,Turner,Tampa,FL,hat,90,blue,2015-07-04,9600,Spinka-Gorczany,Florida,FL,South,South Atlantic
Donald,Greene,Miami,FL,hat,100,green,2014-11-26,9601,"Stanton, Runolfsdottir and Pouros",Florida,FL,South,South Atlantic
Willie,Hudson,Albany,GA,shirt,10,red,2016-07-04,9602,"Howe, Romaguera and Osinski",Georgia,GA,South,South Atlantic
Judith,Mason,Shreveport,LA,shirt,100,blue,2015-08-23,9603,"Kozey, Padberg and White",Louisiana,LA,South,West South Central
Kathleen,Bryant,Huntington,WV,shirt,50,green,2014-08-07,9604,"McKenzie, Runolfsdottir and Green",West Virginia,WV,South,South Atlantic
Tina,Alexander,Philadelphia,PA,hat,70,red,2015-08-02,9605,"Maggio, Schiller and Rippin",Pennsylvania,PA,Northeast,Middle Atlantic
Antonio,West,New York City,NY,hat,90,blue,2015-05-30,9606,Welch LLC,New York,NY,Northeast,Middle Atlantic
Nicole,Powell,Milwaukee,WI,hat,10,green,2014-09-08,9607,,Wisconsin,WI,Midwest,East North Central
Kimberly,Black,Largo,FL,hat,80,red,2014-01-13,9608,Weber-Crona,Florida,FL,South,South Atlantic
Matthew,Woods,New York City,NY,shirt,10,blue,2015-12-06,9609,Russel-Shields,New York,NY,Northeast,Middle Atlantic
Nicole,Carter,Jamaica,NY,hat,70,green,2013-11-19,9610,"Gulgowski, Pfeffer and Sanford",New York,NY,Northeast,Middle Atlantic
Jason,Cole,Orlando,FL,hat,100,red,2016-05-24,9611,"Murphy, Beier and Jacobi",Florida,FL,South,South Atlantic
Jerry,Hawkins,San Francisco,CA,hat,10,blue,2014-04-25,9612,Schamberger Inc,California,CA,West,Pacific
Nicholas,Cruz,Louisville,KY,hat,80,green,2016-08-09,9613,Terry-Rippin,Kentucky,KY,South,East South Central
Lillian,King,Houston,TX,shirt,90,red,2016-03-20,9614,Kemmer-Berge,Texas,TX,South,West South Central
Albert,Lawson,San Francisco,CA,hat,80,blue,2016-10-21,9615,"Kessler, Stamm and Dickinson",California,CA,West,Pacific
Roy,Reid,Dallas,TX,shirt,90,green,2015-06-29,9616,Bruen-Rolfson,Texas,TX,South,West South Central
David,Davis,Sterling,VA,hat,90,red,2016-04-21,9617,,Virginia,VA,South,South Atlantic
Ralph,Burke,Boston,MA,shirt,50,blue,2015-03-15,9618,Ward LLC,Massachusetts,MA,Northeast,New England
Lori,Watson,Reston,VA,hat,60,green,2015-10-29,9619,"Douglas, Bernier and Klein",Virginia,VA,South,South Atlantic
Clarence,Reed,Waco,TX,shirt,100,red,2014-01-27,9620,Wolff Inc,Texas,TX,South,West South Central
Debra,Scott,Santa Fe,NM,hat,30,blue,2015-03-18,9621,Stracke Group,New Mexico,NM,West,Mountain
Victor,Johnson,Brooklyn,NY,shirt,100,green,2014-02-25,9622,"Kessler, Keeling and Terry",New York,NY,Northeast,Middle Atlantic
Jason,Lynch,Greensboro,NC,shirt,100,red,2014-08-21,9623,Ratke-Bosco,North Carolina,NC,South,South Atlantic
Eugene,Stewart,Greeley,CO,hat,90,blue,2014-08-21,9624,,Colorado,CO,West,Mountain
Johnny,Lopez,Rockford,IL,hat,80,green,2016-06-22,9625,Rodriguez and Sons,Illinois,IL,Northeast,East North Central
Anna,Cooper,San Antonio,TX,shirt,100,red,2014-07-17,9626,Goodwin LLC,Texas,TX,South,West South Central
Maria,Simmons,Bloomington,IN,shirt,80,blue,2015-06-26,9627,"Morissette, Larkin and Murazik",Indiana,IN,Northeast,East North Central
Billy,Gray,Columbia,SC,hat,90,green,2015-05-24,9628,"Hettinger, Corwin and Kautzer",South Carolina,SC,South,South Atlantic
Jonathan,Cook,Portland,OR,shirt,60,red,2015-09-03,9629,Rolfson-Barrows,Oregon,OR,West,Pacific
Kevin,Nguyen,Portsmouth,NH,hat,40,blue,2016-08-02,9630,"Borer, Kutch and Turcotte",New Hampshire,NH,Northeast,New England
Cheryl,Myers,Honolulu,HI,shirt,100,green,2016-02-29,9631,,Hawaii,HI,West,Pacific
Ruth,Scott,Pittsburgh,PA,hat,90,red,2016-02-04,9632,Hintz-Metz,Pennsylvania,PA,Northeast,Middle Atlantic
Betty,Wilson,New York City,NY,hat,80,blue,2015-12-22,9633,Wunsch-Stanton,New York,NY,Northeast,Middle Atlantic
Robin,Shaw,Wilmington,NC,shirt,90,green,2015-11-09,9634,Bosco-Thiel,North Carolina,NC,South,South Atlantic
Diana,Gonzales,San Jose,CA,hat,90,red,2014-04-10,9635,Koelpin Group,California,CA,West,Pacific
Lawrence,Torres,Warren,MI,shirt,20,blue,2014-02-19,9636,,Michigan,MI,Midwest,East North Central
Lillian,Rodriguez,Bridgeport,CT,hat,30,green,2016-09-07,9637,Quigley-Durgan,Connecticut,CT,Northeast,New England
Stephanie,Martinez,Las Vegas,NV,shirt,10,red,2015-11-11,9638,Towne-Zemlak,Nevada,NV,West,Mountain
Andrew,Parker,Norwalk,CT,shirt,30,blue,2014-05-19,9639,Weber-Lakin,Connecticut,CT,Northeast,New England
Shawn,Thompson,Lubbock,TX,shirt,70,green,2016-05-06,9640,,Texas,TX,South,West South Central
Joyce,Payne,Santa Monica,CA,shirt,90,red,2016-03-13,9641,Predovic Inc,California,CA,West,Pacific
Sandra,Green,Fort Wayne,IN,hat,40,blue,2016-09-24,9642,Davis and Sons,Indiana,IN,Northeast,East North Central
Ernest,Mills,San Jose,CA,shirt,80,green,2015-02-17,9643,,California,CA,West,Pacific
Janet,Brooks,Richmond,VA,shirt,70,red,2014-10-11,9644,Kilback LLC,Virginia,VA,South,South Atlantic
Jerry,Fisher,Wichita,KS,shirt,30,blue,2015-11-03,9645,Balistreri Group,Kansas,KS,Midwest,West North Central
Rachel,Robinson,Atlanta,GA,hat,60,green,2015-06-27,9646,Marks LLC,Georgia,GA,South,South Atlantic
Martin,Murray,Bridgeport,CT,shirt,90,red,2014-05-20,9647,"Ruecker, Bruen and Maggio",Connecticut,CT,Northeast,New England
Gary,Young,Fayetteville,NC,hat,70,blue,2014-06-04,9648,Ernser-Jast,North Carolina,NC,South,South Atlantic
Joan,Watkins,Minneapolis,MN,hat,70,green,2015-01-27,9649,Morissette and Sons,Minnesota,MN,Midwest,West North Central
Harold,Patterson,Fort Pierce,FL,shirt,50,red,2015-11-06,9650,Gibson Group,Florida,FL,South,South Atlantic
Edward,Adams,New Orleans,LA,hat,60,blue,2014-03-18,9651,"Gerlach, Upton and Maggio",Louisiana,LA,South,West South Central
Andrew,Peterson,Farmington,MI,hat,50,green,2016-05-12,9652,Gulgowski Group,Michigan,MI,Midwest,East North Central
Jennifer,Morgan,Youngstown,OH,hat,80,red,2014-01-21,9653,Muller-O'Kon,Ohio,OH,Midwest,East North Central
Larry,Cruz,Woburn,MA,hat,80,blue,2014-01-02,9654,O'Hara-Veum,Massachusetts,MA,Northeast,New England
Ronald,Hughes,Los Angeles,CA,hat,100,green,2016-10-22,9655,"Langworth, Schaefer and Stanton",California,CA,West,Pacific
Karen,Kelley,Naples,FL,hat,80,red,2014-09-23,9656,"Senger, Casper and Koss",Florida,FL,South,South Atlantic
Jacqueline,Stanley,Fort Lauderdale,FL,shirt,40,blue,2015-09-05,9657,"Huel, Cummerata and Halvorson",Florida,FL,South,South Atlantic
Larry,Gomez,Kansas City,MO,hat,100,green,2016-10-08,9658,Bergnaum-Marks,Missouri,MO,Midwest,West North Central
Kathryn,Welch,Olympia,WA,hat,10,red,2015-05-12,9659,Mayert and Sons,Washington,WA,West,Pacific
Phyllis,Webb,Odessa,TX,shirt,100,blue,2016-08-14,9660,"Carroll, Yost and Lang",Texas,TX,South,West South Central
Walter,Hughes,Long Beach,CA,hat,100,green,2015-04-01,9661,"Robel, Langworth and Kemmer",California,CA,West,Pacific
Amy,Crawford,Phoenix,AZ,shirt,90,red,2015-04-08,9662,Durgan Inc,Arizona,AZ,West,Mountain
Jeffrey,Dunn,San Diego,CA,shirt,40,blue,2016-07-08,9663,Goyette-Kerluke,California,CA,West,Pacific
Joan,Wheeler,Birmingham,AL,shirt,60,green,2014-02-02,9664,O'Hara Group,Alabama,AL,South,East South Central
Matthew,Castillo,Mobile,AL,shirt,10,red,2014-12-13,9665,Jaskolski-Larson,Alabama,AL,South,East South Central
Peter,Nelson,Tallahassee,FL,hat,100,blue,2015-05-22,9666,"Steuber, Watsica and Little",Florida,FL,South,South Atlantic
Jacqueline,Evans,Miami,FL,shirt,90,green,2015-08-15,9667,"Roob, Mohr and Baumbach",Florida,FL,South,South Atlantic
Matthew,Nichols,Saint Louis,MO,shirt,10,red,2014-01-11,9668,"Wolff, Powlowski and Nitzsche",Missouri,MO,Midwest,West North Central
Keith,Gordon,Hartford,CT,shirt,70,blue,2014-10-19,9669,Gulgowski-Smitham,Connecticut,CT,Northeast,New England
Irene,Perkins,Lincoln,NE,shirt,60,green,2015-01-20,9670,"Lesch, Frami and Raynor",Nebraska,NE,Midwest,West North Central
Jack,Dean,Portland,OR,shirt,100,red,2013-12-22,9671,Bayer-Hilll,Oregon,OR,West,Pacific
Eugene,Jackson,Denver,CO,hat,80,blue,2015-03-12,9672,O'Connell Inc,Colorado,CO,West,Mountain
Tammy,Gonzales,Columbia,SC,shirt,90,green,2014-11-01,9673,,South Carolina,SC,South,South Atlantic
Carlos,Morrison,Houston,TX,hat,10,red,2013-12-06,9674,Hand and Sons,Texas,TX,South,West South Central
Anna,Bryant,Durham,NC,hat,10,blue,2015-03-12,9675,"Stroman, Bergstrom and Ryan",North Carolina,NC,South,South Atlantic
Benjamin,Bowman,Orlando,FL,shirt,20,green,2016-09-09,9676,Sauer LLC,Florida,FL,South,South Atlantic
Lois,Coleman,Kansas City,MO,hat,80,red,2016-03-29,9677,Krajcik and Sons,Missouri,MO,Midwest,West North Central
Carolyn,Mills,Tampa,FL,shirt,40,blue,2014-06-04,9678,Pollich-Rice,Florida,FL,South,South Atlantic
Deborah,Lee,San Francisco,CA,hat,50,green,2014-09-03,9679,Langosh and Sons,California,CA,West,Pacific
Denise,Gutierrez,Abilene,TX,hat,100,red,2015-02-12,9680,,Texas,TX,South,West South Central
Ryan,Ramos,Houston,TX,shirt,90,blue,2016-09-28,9681,Haag-Rodriguez,Texas,TX,South,West South Central
Clarence,Watson,New York City,NY,shirt,10,green,2016-05-02,9682,Fisher LLC,New York,NY,Northeast,Middle Atlantic
Pamela,Chapman,Toledo,OH,shirt,50,red,2015-07-09,9683,,Ohio,OH,Midwest,East North Central
Jesse,Stone,Oakland,CA,hat,70,blue,2016-05-19,9684,Kiehn Inc,California,CA,West,Pacific
Jennifer,Medina,Birmingham,AL,shirt,100,green,2015-11-18,9685,Ullrich LLC,Alabama,AL,South,East South Central
Jerry,Watkins,Daytona Beach,FL,hat,50,red,2015-01-22,9686,Nader LLC,Florida,FL,South,South Atlantic
Kevin,Russell,Southfield,MI,shirt,90,blue,2014-08-28,9687,,Michigan,MI,Midwest,East North Central
Brian,Carter,Philadelphia,PA,shirt,40,green,2014-11-16,9688,Gutmann Group,Pennsylvania,PA,Northeast,Middle Atlantic
Phillip,Dixon,Brooklyn,NY,shirt,100,red,2014-01-13,9689,O'Hara-O'Kon,New York,NY,Northeast,Middle Atlantic
Joan,Vasquez,El Paso,TX,shirt,20,blue,2015-09-03,9690,"Luettgen, Cassin and Barrows",Texas,TX,South,West South Central
William,Howard,Odessa,TX,hat,90,green,2016-05-21,9691,Nienow-Nitzsche,Texas,TX,South,West South Central
Bruce,Phillips,West Palm Beach,FL,hat,100,red,2015-10-21,9692,Jacobson-Bins,Florida,FL,South,South Atlantic
Catherine,Dean,Cincinnati,OH,hat,90,blue,2015-06-06,9693,Rau Inc,Ohio,OH,Midwest,East North Central
Raymond,Diaz,Columbus,OH,shirt,50,green,2015-03-09,9694,Goodwin LLC,Ohio,OH,Midwest,East North Central
Louis,Cole,San Bernardino,CA,shirt,100,red,2014-06-04,9695,,California,CA,West,Pacific
Doris,Lane,Miami,FL,hat,20,blue,2016-01-27,9696,Kub and Sons,Florida,FL,South,South Atlantic
Marilyn,Ferguson,Grand Rapids,MI,shirt,20,green,2015-04-26,9697,McCullough and Sons,Michigan,MI,Midwest,East North Central
Jose,Cooper,North Little Rock,AR,hat,90,red,2015-09-15,9698,Glover and Sons,Arkansas,AR,South,West South Central
Marilyn,Davis,Atlanta,GA,hat,100,blue,2015-05-09,9699,Schinner Inc,Georgia,GA,South,South Atlantic
Martha,Cruz,Hollywood,FL,hat,10,green,2015-04-29,9700,Ernser-Weimann,Florida,FL,South,South Atlantic
Keith,Harrison,San Diego,CA,shirt,100,red,2016-05-28,9701,Pouros Inc,California,CA,West,Pacific
Emily,Elliott,Port Washington,NY,shirt,60,blue,2015-09-07,9702,,New York,NY,Northeast,Middle Atlantic
Louis,Hanson,Honolulu,HI,shirt,90,green,2016-02-13,9703,Morissette-Kassulke,Hawaii,HI,West,Pacific
Gerald,Price,Harrisburg,PA,hat,40,red,2015-11-11,9704,Dietrich Group,Pennsylvania,PA,Northeast,Middle Atlantic
Kevin,Clark,Baton Rouge,LA,shirt,70,blue,2015-07-18,9705,Braun-Rau,Louisiana,LA,South,West South Central
Arthur,Bishop,Tacoma,WA,hat,20,green,2014-10-22,9706,"Grady, Ruecker and Howell",Washington,WA,West,Pacific
Judy,Ramirez,San Diego,CA,hat,100,red,2013-12-10,9707,Brekke Group,California,CA,West,Pacific
Cheryl,Sims,Portland,OR,shirt,70,blue,2016-05-11,9708,,Oregon,OR,West,Pacific
Stephanie,Russell,Oklahoma City,OK,shirt,80,green,2016-06-15,9709,Hermiston LLC,Oklahoma,OK,South,West South Central
Joan,Perkins,Annapolis,MD,hat,90,red,2016-04-09,9710,,Maryland,MD,South,South Atlantic
Lori,Johnson,Johnson City,TN,shirt,80,blue,2016-03-19,9711,"Predovic, Borer and Hauck",Tennessee,TN,South,East South Central
Debra,Frazier,Las Vegas,NV,hat,50,green,2015-09-27,9712,Baumbach LLC,Nevada,NV,West,Mountain
Carl,Mendoza,Akron,OH,hat,60,red,2016-08-08,9713,Hackett-Williamson,Ohio,OH,Midwest,East North Central
Nicole,Wallace,Silver Spring,MD,shirt,80,blue,2013-12-15,9714,Batz Inc,Maryland,MD,South,South Atlantic
Alice,Miller,Daytona Beach,FL,hat,70,green,2015-11-29,9715,Padberg-Cummings,Florida,FL,South,South Atlantic
Terry,Fernandez,Shawnee Mission,KS,hat,40,red,2014-11-20,9716,,Kansas,KS,Midwest,West North Central
Ruth,Warren,Springfield,MA,hat,80,blue,2013-12-28,9717,Waelchi-Smith,Massachusetts,MA,Northeast,New England
Linda,Matthews,Miami,FL,hat,10,green,2014-11-28,9718,"Boyer, Senger and Lemke",Florida,FL,South,South Atlantic
Chris,Wilson,Lake Charles,LA,hat,70,red,2014-02-24,9719,Hartmann-Kirlin,Louisiana,LA,South,West South Central
Susan,Welch,Rochester,NY,hat,70,blue,2016-11-14,9720,"Hoeger, Boyle and Emard",New York,NY,Northeast,Middle Atlantic
Todd,Ross,Houston,TX,hat,20,green,2016-09-29,9721,,Texas,TX,South,West South Central
Andrea,Hart,Charleston,WV,hat,80,red,2014-07-24,9722,"Reinger, Hills and Anderson",West Virginia,WV,South,South Atlantic
