full_name,state_name
"Irene, Crawford",California
"Ernest, Fowler",California
"Dennis, Gordon",California
"William, Martinez",California
"Angela, Elliott",California
"Deborah, Johnston",California
"Frank, Gutierrez",California
"Justin, Snyder",California
"Norma, Robertson",California
"Daniel, Woods",California
"Bruce, Ross",California
"Theresa, Fox",California
"Keith, Perez",California
"Michael, Wagner",California
"Kathy, Ellis",California
"Charles, Green",California
"Benjamin, Hernandez",California
"Raymond, Stephens",California
"Linda, Rivera",California
"Irene, Gibson",California
"Michelle, Roberts",California
"Ruth, Alvarez",California
"Sean, Webb",California
"Patrick, Barnes",California
"Edward, Hicks",California
"James, Little",California
"Kenneth, Gomez",California
"Helen, Stanley",California
"Edward, Sanchez",California
"Barbara, Bryant",California
"Tammy, Wagner",California
"Steve, West",California
"Barbara, Howard",California
"Ruby, Burton",California
"Ashley, Rice",California
"Irene, Morgan",California
"Sean, Reed",California
"Keith, Pierce",California
"Timothy, Powell",California
"Ashley, Reid",California
"Patrick, Watkins",California
"Billy, Banks",California
"Mildred, Crawford",California
"Jason, Mitchell",California
"Jimmy, Gutierrez",California
"Carlos, Hanson",California
"Phillip, Stone",California
"Margaret, Myers",California
"Ashley, Franklin",California
"Donna, Hernandez",California
"Carol, Robinson",California
"Lois, Cruz",California
"Carlos, Chapman",California
"Anna, Jackson",California
"Maria, Palmer",California
"Brandon, Jackson",California
"Jimmy, Simmons",California
"Donald, Woods",California
"Marilyn, Payne",California
"Teresa, Oliver",Colorado
"Kevin, Martinez",Colorado
"Eugene, Stewart",Colorado
"Eugene, Jackson",Colorado
"Adam, West",Colorado
"Annie, Richards",Colorado
"Donald, Harris",Colorado
"Anna, Porter",Colorado
"Jimmy, Willis",Colorado
"Willie, Elliott",Colorado
"Rose, Jones",Colorado
"Maria, Harrison",Colorado
"Margaret, Arnold",Colorado
"Diana, Torres",Colorado
"Melissa, Olson",Colorado
"Joyce, Morgan",Colorado
"Daniel, Hunt",Colorado
"Denise, Fuller",Colorado
"Betty, Welch",Colorado
"Clarence, Olson",Colorado
"Teresa, Day",Colorado
"William, Carroll",Colorado
"Douglas, Boyd",Colorado
"Walter, Burns",Colorado
"Mary, Richards",Colorado
"Peter, Hawkins",Colorado
"Wayne, Williams",Colorado
"Jimmy, Foster",Colorado
"Bonnie, Brooks",Connecticut
"Helen, Berry",Connecticut
"Lillian, Rodriguez",Connecticut
"Andrew, Parker",Connecticut
"Martin, Murray",Connecticut
"Keith, Gordon",Connecticut
"Lawrence, Ryan",Connecticut
"Louise, Fisher",Connecticut
"Jose, Butler",Connecticut
"Jack, Martinez",Connecticut
"Rose, Garcia",Connecticut
"Matthew, Franklin",Connecticut
"Janice, Bryant",Connecticut
"Dorothy, Cole",Connecticut
"Ryan, Rice",Delaware
"Ann, Harrison",Delaware
"Donald, Black",Florida
"Brian, George",Florida
"Donna, Daniels",Florida
"Lawrence, Hill",Florida
"James, Morrison",Florida
"Lawrence, Hart",Florida
"Laura, Brown",Florida
"Doris, Cruz",Florida
"Rose, Williams",Florida
"Dennis, Harper",Florida
"Annie, Greene",Florida
"Donna, Carr",Florida
"Michael, Turner",Florida
"Donald, Greene",Florida
"Kimberly, Black",Florida
"Jason, Cole",Florida
"Harold, Patterson",Florida
"Karen, Kelley",Florida
"Jacqueline, Stanley",Florida
"Peter, Nelson",Florida
"Jacqueline, Evans",Florida
"Benjamin, Bowman",Florida
"Carolyn, Mills",Florida
"Jerry, Watkins",Florida
"Bruce, Phillips",Florida
"Doris, Lane",Florida
"Martha, Cruz",Florida
"Alice, Miller",Florida
"Linda, Matthews",Florida
"Robin, Gardner",Florida
"Douglas, Freeman",Florida
"Annie, Kennedy",Florida
"Mark, Williams",Florida
"Deborah, Hanson",Florida
"Henry, Kim",Florida
"Andrew, Moreno",Florida
"Jason, West",Florida
"Jennifer, Garrett",Florida
"Nancy, Murphy",Florida
"Angela, Duncan",Florida
"Paula, Bishop",Florida
"Gloria, Reynolds",Florida
"Anne, Porter",Florida
"Debra, Hughes",Florida
"Christina, Gibson",Florida
"Catherine, Peters",Florida
"Sara, Morales",Florida
"Raymond, Romero",Florida
"Linda, Bowman",Florida
"Doris, Hunter",Florida
"Justin, Olson",Florida
"Terry, Stanley",Florida
"Alice, Bennett",Florida
"Emily, Gutierrez",Florida
"Judy, Black",Florida
"Jeffrey, Martinez",Florida
"Sandra, Ferguson",Florida
"Susan, Pierce",Florida
"Steven, Foster",Florida
"Earl, Russell",Florida
"Teresa, Sullivan",Florida
"Keith, Knight",Florida
"Benjamin, Duncan",Florida
"Wayne, Ryan",Florida
"Sarah, Johnston",Florida
"Joshua, Green",Florida
"Norma, Willis",Florida
"Adam, Richardson",Florida
"Nicholas, Peters",Florida
"Michelle, Baker",Florida
"Jose, Carroll",Florida
"Stephen, Hughes",Florida
"Jimmy, Carr",Florida
"Debra, Garrett",Florida
"Michelle, Carr",Florida
"Eugene, Flores",Florida
"Jennifer, Thomas",Florida
"Phillip, James",Florida
"Patricia, Cooper",Florida
"Tammy, Nichols",Florida
"Julie, Bell",Florida
"Heather, Little",Florida
"Brandon, Greene",Florida
"Bonnie, Willis",Florida
"Brian, Bowman",Florida
"Carl, Sanders",Florida
"Alice, Shaw",Florida
"Craig, Turner",Florida
"Stephen, Wagner",Florida
"Roy, Arnold",Florida
"Christine, Reyes",Florida
"Robin, Ryan",Florida
"Stephanie, Gomez",Florida
"Willie, Hudson",Georgia
"Rachel, Robinson",Georgia
"Marilyn, Davis",Georgia
"David, Roberts",Georgia
"Thomas, Stewart",Georgia
"Steven, Green",Georgia
"Walter, Clark",Georgia
"Carl, Greene",Georgia
"Gerald, Freeman",Georgia
"John, Sanders",Georgia
"Anthony, Palmer",Georgia
"Michael, Kelly",Georgia
"Katherine, Perkins",Georgia
"Kelly, Lewis",Georgia
"Deborah, Murray",Georgia
"Jimmy, Harrison",Georgia
"Adam, Knight",Georgia
"Gerald, West",Georgia
"Nancy, Rivera",Georgia
"Russell, Green",Georgia
"Amy, Hudson",Georgia
"Norma, Morales",Georgia
"Christina, Burns",Georgia
"Jacqueline, Dixon",Georgia
"Mark, Scott",Georgia
"Roger, Harrison",Georgia
"Jennifer, Burke",Georgia
"Cheryl, Myers",Hawaii
"Louis, Hanson",Hawaii
"Janet, Carroll",Hawaii
"Patrick, Johnson",Idaho
"Kimberly, Chavez",Idaho
"Melissa, Franklin",Idaho
"Mary, Myers",Idaho
"Carl, Matthews",Idaho
"Jerry, Ferguson",Illinois
"Joe, Thompson",Illinois
"Robert, Bradley",Illinois
"Johnny, Lopez",Illinois
"Angela, Russell",Illinois
"Louis, Cole",Illinois
"Rebecca, Henderson",Illinois
"Stephen, Fernandez",Illinois
"Eugene, Ray",Illinois
"Linda, Gonzalez",Illinois
"Christopher, Hunter",Illinois
"George, Gonzalez",Illinois
"Johnny, Jacobs",Illinois
"Anna, Perkins",Illinois
"Victor, Owens",Illinois
"Keith, Peters",Illinois
"Joyce, Wells",Illinois
"Martha, Riley",Illinois
"Clarence, Morales",Illinois
"David, Ford",Indiana
"Maria, Simmons",Indiana
"Sandra, Green",Indiana
"Amy, Hart",Indiana
"Juan, Murphy",Indiana
"Amy, Matthews",Indiana
"Carl, Boyd",Indiana
"Wayne, Mcdonald",Indiana
"Philip, Crawford",Indiana
"Jane, Powell",Indiana
"Arthur, Dunn",Indiana
"Linda, Hanson",Indiana
"Louis, Stone",Indiana
"Carolyn, Griffin",Indiana
"Louise, Stewart",Indiana
"Kenneth, Gilbert",Indiana
"Pamela, Payne",Indiana
"Eric, Gardner",Indiana
"Carlos, Owens",Indiana
"Timothy, Payne",Indiana
"Deborah, Snyder",Indiana
"David, Thomas",Indiana
"Anthony, Warren",Indiana
"Cheryl, Wallace",Indiana
"Richard, Russell",Indiana
"Andrew, Baker",Indiana
"Frances, Hunter",Indiana
"Scott, Thompson",Iowa
"Paul, Schmidt",Iowa
"Jennifer, Lawson",Iowa
"Philip, Hudson",Iowa
"Ann, Gonzales",Iowa
"Charles, Edwards",Iowa
"Rose, Kelley",Kansas
"Carol, Matthews",Kansas
"Jerry, Fisher",Kansas
"Terry, Fernandez",Kansas
"Melissa, Palmer",Kansas
"Bobby, Garrett",Kansas
"Beverly, Hudson",Kansas
"Keith, Butler",Kansas
"Lois, Hart",Kansas
"Ernest, Peters",Kansas
"Brandon, Green",Kansas
"Bruce, King",Kansas
"Andrea, Butler",Kansas
"Christopher, Walker",Kansas
"John, Myers",Kansas
"Brenda, Brooks",Kansas
"Nicholas, Cruz",Kentucky
"Matthew, Kelly",Kentucky
"Lisa, Wallace",Kentucky
"Christine, Jacobs",Kentucky
"Patricia, Riley",Kentucky
"Linda, Garrett",Kentucky
"William, Mason",Kentucky
"Joyce, Ward",Kentucky
"Charles, Grant",Kentucky
"Sarah, Ryan",Kentucky
"Fred, Williamson",Kentucky
"Kenneth, Campbell",Kentucky
"Russell, Peterson",Kentucky
"Christine, Reyes",Kentucky
"Michael, Gonzalez",Kentucky
"Jonathan, Ryan",Louisiana
"Richard, Fox",Louisiana
"Anne, Ellis",Louisiana
"Kelly, Perkins",Louisiana
"Judith, Mason",Louisiana
"Edward, Adams",Louisiana
"Kevin, Clark",Louisiana
"Chris, Wilson",Louisiana
"Mark, George",Louisiana
"Judy, Armstrong",Louisiana
"Carlos, Graham",Louisiana
"Frank, Grant",Louisiana
"Kathleen, Watson",Louisiana
"Lillian, Cunningham",Louisiana
"Brian, Stevens",Louisiana
"Howard, Morris",Louisiana
"Carolyn, Grant",Louisiana
"Harry, Jones",Louisiana
"Doris, Chavez",Louisiana
"Frances, Miller",Louisiana
"Joan, Perkins",Maryland
"Nicole, Wallace",Maryland
"Harry, Freeman",Maryland
"Raymond, Stephens",Maryland
"Joseph, Howard",Maryland
"John, White",Maryland
"Fred, Walker",Maryland
"Earl, Watkins",Maryland
"Shirley, Walker",Maryland
"Maria, Martin",Maryland
"Andrea, Carpenter",Maryland
"Emily, Carroll",Maryland
"Ashley, Riley",Maryland
"Wayne, Stevens",Maryland
"Andrew, Taylor",Maryland
"Michelle, Nelson",Massachusetts
"Teresa, Martinez",Massachusetts
"Ralph, Burke",Massachusetts
"Larry, Cruz",Massachusetts
"Ruth, Warren",Massachusetts
"Shirley, Montgomery",Massachusetts
"Jason, Daniels",Massachusetts
"Bruce, Stone",Massachusetts
"Sara, Payne",Massachusetts
"Samuel, Berry",Massachusetts
"Bonnie, Gibson",Massachusetts
"Stephen, Wallace",Massachusetts
"Steve, Jenkins",Massachusetts
"Harold, Collins",Massachusetts
"Norma, Cunningham",Massachusetts
"Christina, Gardner",Massachusetts
"Carol, Ross",Massachusetts
"Denise, White",Massachusetts
"Christine, Wood",Michigan
"Margaret, Hamilton",Michigan
"Sharon, Foster",Michigan
"Lawrence, Torres",Michigan
"Andrew, Peterson",Michigan
"Kevin, Russell",Michigan
"Marilyn, Ferguson",Michigan
"Carlos, Howell",Michigan
"Keith, Fox",Michigan
"Jesse, Jones",Michigan
"Lois, Gordon",Michigan
"Gloria, Olson",Michigan
"Julia, Hawkins",Michigan
"Johnny, Wells",Michigan
"Gloria, Crawford",Michigan
"Irene, Watkins",Michigan
"Diane, Perry",Michigan
"Randy, Cox",Michigan
"Mary, Washington",Michigan
"Roy, Rivera",Minnesota
"Joan, Watkins",Minnesota
"Donald, Phillips",Minnesota
"Antonio, Hart",Minnesota
"Louis, Cox",Minnesota
"Chris, Castillo",Minnesota
"Ashley, Fisher",Minnesota
"Harry, Welch",Minnesota
"Martin, Richardson",Minnesota
"Cynthia, Carroll",Minnesota
"Jack, Butler",Minnesota
"Jacqueline, Montgomery",Minnesota
"Nancy, Henderson",Minnesota
"Ruby, Daniels",Minnesota
"Shirley, Payne",Minnesota
"Randy, Brown",Minnesota
"Louise, Garcia",Minnesota
"Stephanie, Stevens",Minnesota
"Judith, Cole",Minnesota
"Jimmy, Wagner",Mississippi
"Rebecca, Peterson",Mississippi
"Patricia, James",Mississippi
"Gerald, Harrison",Mississippi
"Brandon, Morris",Mississippi
"Keith, Ferguson",Missouri
"Larry, Gomez",Missouri
"Matthew, Nichols",Missouri
"Lois, Coleman",Missouri
"Ruth, Johnson",Missouri
"Earl, Green",Missouri
"Cheryl, Elliott",Missouri
"Stephen, Snyder",Missouri
"Phyllis, George",Missouri
"Phyllis, Hicks",Missouri
"Randy, Ellis",Missouri
"Eugene, Hansen",Missouri
"Gerald, Wagner",Missouri
"Eugene, Perry",Missouri
"Brandon, Perkins",Missouri
"Kimberly, Payne",Missouri
"Adam, Ford",Missouri
"Jacqueline, Fisher",Missouri
"George, Nguyen",Missouri
"Ronald, Nelson",Missouri
"Shirley, Ramirez",Missouri
"Deborah, Meyer",Missouri
"Jesse, Morris",Missouri
"Emily, James",Missouri
"Adam, Gonzales",Missouri
"Melissa, Hughes",Missouri
"Brian, Bradley",Missouri
"George, White",Montana
"Anna, Chapman",Montana
"Shirley, Chavez",Montana
"Ann, Adams",Nebraska
"Irene, Perkins",Nebraska
"Irene, Bowman",Nebraska
"Rebecca, Murray",Nebraska
"Annie, Jackson",Nebraska
"Stephanie, Flores",Nebraska
"Carolyn, Ruiz",Nebraska
"Earl, Jenkins",Nebraska
"Gary, Peters",Nevada
"Stephanie, Martinez",Nevada
"Debra, Frazier",Nevada
"Christina, Graham",Nevada
"Carolyn, Carter",Nevada
"Kathy, Gilbert",Nevada
"Carl, Olson",Nevada
"Steve, Cook",Nevada
"Wanda, Perez",Nevada
"Jeremy, Tucker",Nevada
"Frances, Austin",Nevada
"Willie, Olson",Nevada
"Kevin, Nguyen",New Hampshire
"Raymond, Reyes",New Jersey
"Cynthia, Alexander",New Jersey
"Michael, Hill",New Jersey
"Virginia, Harvey",New Jersey
"Walter, Andrews",New Jersey
"Sara, Lawson",New Jersey
"Janice, Bailey",New Jersey
"Gerald, Montgomery",New Mexico
"Debra, Scott",New Mexico
"David, Hunter",New Mexico
"Jennifer, Fowler",New Mexico
"Aaron, Jacobs",New Mexico
"Evelyn, Austin",New Mexico
"Jack, Garcia",New York
"Dennis, Banks",New York
"John, Howard",New York
"Catherine, Rodriguez",New York
"Philip, Ray",New York
"Philip, Carr",New York
"Howard, Gilbert",New York
"Antonio, West",New York
"Matthew, Woods",New York
"Nicole, Carter",New York
"Victor, Johnson",New York
"Betty, Wilson",New York
"Clarence, Watson",New York
"Phillip, Dixon",New York
"Emily, Elliott",New York
"Susan, Welch",New York
"Chris, Jenkins",New York
"Wayne, Young",New York
"Gloria, Rogers",New York
"Terry, Bradley",New York
"Larry, Cole",New York
"Stephanie, Ryan",New York
"Amy, Warren",New York
"Katherine, Kennedy",New York
"Walter, Hamilton",New York
"Julie, Grant",New York
"Kathryn, Banks",New York
"Thomas, Rivera",New York
"Gloria, Wells",New York
"Helen, Fuller",New York
"Emily, Johnson",New York
"Frank, Perkins",New York
"Ruth, Murphy",New York
"Christine, James",New York
"Mary, Gray",New York
"Steven, Fox",New York
"Ralph, Fisher",New York
"Jeremy, Martin",New York
"Benjamin, Thompson",New York
"Lisa, Riley",New York
"Joyce, Bennett",New York
"Ashley, Ramirez",New York
"Stephanie, Carpenter",New York
"Ruby, Richards",New York
"Rebecca, Reed",New York
"Judith, Barnes",New York
"Nicole, Moreno",New York
"Roger, Tucker",New York
"Janet, Reynolds",New York
"Todd, Lopez",New York
"Randy, Johnston",New York
"Gary, Parker",New York
"Mark, Franklin",New York
"Aaron, Davis",New York
"Stephen, Grant",New York
"Jessica, Price",New York
"Russell, Dixon",New York
"Bonnie, Olson",New York
"Carolyn, Kelly",New York
"Donna, Johnston",New York
"Victor, Hunt",New York
"Randy, Larson",New York
"Matthew, Bowman",North Carolina
"Jason, Lynch",North Carolina
"Robin, Shaw",North Carolina
"Gary, Young",North Carolina
"Anna, Bryant",North Carolina
"Richard, Myers",North Carolina
"Judy, Johnson",North Carolina
"Wanda, Torres",North Carolina
"Sean, Lane",North Carolina
"Christina, Richardson",North Carolina
"Christine, Rivera",North Carolina
"Clarence, Williamson",North Carolina
"Eric, Martinez",North Carolina
"Howard, Ramirez",North Carolina
"Brandon, Hayes",North Carolina
"Jack, Harvey",North Carolina
"Bruce, Wallace",North Carolina
"Eric, Morgan",North Carolina
"Sara, Wallace",North Carolina
"Ruby, Kelley",North Carolina
"Debra, Bennett",North Carolina
"Jennifer, Lopez",North Carolina
"Tina, Fox",North Carolina
"Judy, Andrews",North Carolina
"Benjamin, Sims",North Carolina
"Christina, Burke",North Carolina
"Rose, Rivera",North Carolina
"Annie, Turner",North Carolina
"Nicole, Willis",North Dakota
"Craig, Ortiz",North Dakota
"James, Murray",Ohio
"Jennifer, Morgan",Ohio
"Pamela, Chapman",Ohio
"Catherine, Dean",Ohio
"Raymond, Diaz",Ohio
"Carl, Mendoza",Ohio
"Katherine, Warren",Ohio
"Brenda, Miller",Ohio
"Emily, Richards",Ohio
"Victor, Gray",Ohio
"Helen, Thompson",Ohio
"Amy, Simpson",Ohio
"Eric, Turner",Ohio
"Jacqueline, Payne",Ohio
"Catherine, Lewis",Ohio
"Raymond, Moore",Ohio
"Donna, Flores",Ohio
"Patricia, Ryan",Ohio
"Walter, Kelly",Ohio
"Shawn, Spencer",Ohio
"Heather, Foster",Ohio
"Evelyn, Peters",Ohio
"Jacqueline, Patterson",Ohio
"Anthony, Morris",Ohio
"Bobby, Stewart",Ohio
"Roger, Hill",Ohio
"Thomas, Williamson",Ohio
"Evelyn, Oliver",Ohio
"Maria, Mitchell",Ohio
"Christina, Lynch",Ohio
"Ralph, Morales",Ohio
"Eugene, Martinez",Ohio
"Jennifer, Cooper",Ohio
"Brandon, Lopez",Ohio
"Ashley, Washington",Ohio
"Kelly, White",Ohio
"Richard, Stevens",Ohio
"Douglas, Peterson",Ohio
"Stephanie, Russell",Oklahoma
"Christopher, Kim",Oklahoma
"Todd, Mason",Oklahoma
"Shirley, Graham",Oklahoma
"Marie, Hawkins",Oklahoma
"Andrew, Mason",Oklahoma
"Douglas, Mills",Oklahoma
"Ruth, Taylor",Oklahoma
"Chris, Jacobs",Oklahoma
"Sharon, Oliver",Oklahoma
"Louis, Watson",Oklahoma
"Margaret, Weaver",Oklahoma
"Ruth, Jackson",Oklahoma
"Steve, Pierce",Oklahoma
"Sharon, Brown",Oregon
"Jonathan, Cook",Oregon
"Jack, Dean",Oregon
"Cheryl, Sims",Oregon
"Cheryl, Phillips",Oregon
"Melissa, Hunt",Oregon
"Jeremy, Cunningham",Oregon
"Donna, Armstrong",Oregon
"Wanda, Alexander",Oregon
"Nicole, Chavez",Oregon
"Earl, Burns",Oregon
"Fred, Peters",Pennsylvania
"Willie, Thomas",Pennsylvania
"Kimberly, Fernandez",Pennsylvania
"Joyce, Marshall",Pennsylvania
"Tina, Alexander",Pennsylvania
"Ruth, Scott",Pennsylvania
"Brian, Carter",Pennsylvania
"Gerald, Price",Pennsylvania
"Jeffrey, Sanchez",Pennsylvania
"Roy, Stanley",Pennsylvania
"Andrew, Cox",Pennsylvania
"Catherine, King",Pennsylvania
"Walter, Medina",Pennsylvania
"Jacqueline, Rivera",Pennsylvania
"William, Black",Pennsylvania
"Brian, Matthews",Pennsylvania
"Aaron, Alexander",Pennsylvania
"Wanda, Hernandez",Pennsylvania
"Mark, Holmes",Pennsylvania
"Alan, Butler",Pennsylvania
"Sean, Gibson",Pennsylvania
"Anne, Romero",Pennsylvania
"Daniel, George",Pennsylvania
"Nancy, Shaw",Pennsylvania
"Marie, Riley",Pennsylvania
"Marilyn, Williams",Pennsylvania
"Thomas, Reyes",Pennsylvania
"Nicholas, Barnes",Pennsylvania
"Roy, Black",Pennsylvania
"Brenda, Brooks",Pennsylvania
"Billy, Gray",South Carolina
"Tammy, Gonzales",South Carolina
"Janet, Ferguson",South Carolina
"Debra, Henry",South Carolina
"Patrick, Hunt",South Carolina
"Alan, Wagner",South Carolina
"Kenneth, Fisher",South Carolina
"Edward, Mcdonald",South Carolina
"Daniel, Alvarez",South Carolina
"Carol, Campbell",South Carolina
"Kenneth, Black",South Carolina
"Thomas, Jones",South Carolina
"Dennis, Bishop",South Dakota
"Wayne, Gutierrez",South Dakota
"Melissa, Richardson",South Dakota
"Peter, Snyder",South Dakota
"Angela, Martinez",Tennessee
"Lori, Johnson",Tennessee
"Ashley, Harper",Tennessee
"Kathy, Riley",Tennessee
"Anna, Brown",Tennessee
"Joan, Young",Tennessee
"Joe, Ellis",Tennessee
"Anna, Arnold",Tennessee
"Ann, Moore",Tennessee
"Earl, Evans",Tennessee
"Julia, Lee",Tennessee
"Catherine, Garrett",Tennessee
"Brenda, Owens",Tennessee
"Marilyn, Hall",Tennessee
"Andrea, Johnson",Tennessee
"Elizabeth, Murphy",Tennessee
"Gerald, Johnston",Texas
"Randy, Oliver",Texas
"Donald, Ellis",Texas
"Linda, Foster",Texas
"Stephen, Jacobs",Texas
"Douglas, Williamson",Texas
"Sarah, Payne",Texas
"Lillian, King",Texas
"Roy, Reid",Texas
"Clarence, Reed",Texas
"Anna, Cooper",Texas
"Shawn, Thompson",Texas
"Phyllis, Webb",Texas
"Carlos, Morrison",Texas
"Denise, Gutierrez",Texas
"Ryan, Ramos",Texas
"Joan, Vasquez",Texas
"William, Howard",Texas
"Todd, Ross",Texas
"Stephen, Carter",Texas
"Doris, Washington",Texas
"Keith, Scott",Texas
"Nancy, Sullivan",Texas
"Willie, Elliott",Texas
"Gloria, Reed",Texas
"Rose, Burton",Texas
"Carolyn, Henry",Texas
"Frances, Barnes",Texas
"Joyce, Perry",Texas
"Ruth, Peterson",Texas
"Cynthia, Evans",Texas
"Jeremy, Boyd",Texas
"Harold, Richards",Texas
"Mary, Ruiz",Texas
"Deborah, Rivera",Texas
"Joan, Barnes",Texas
"Edward, Ross",Texas
"Emily, Marshall",Texas
"Beverly, Garza",Texas
"Raymond, Butler",Texas
"Joshua, Perkins",Texas
"Frank, West",Texas
"Ryan, Hayes",Texas
"Cynthia, Powell",Texas
"Barbara, Hunt",Texas
"Phillip, Hansen",Texas
"Marie, Reynolds",Texas
"Russell, Jackson",Texas
"Philip, Foster",Texas
"Donna, Daniels",Texas
"Debra, Daniels",Texas
"Gerald, Shaw",Texas
"Phillip, Crawford",Texas
"Brandon, Hicks",Texas
"Paula, Williamson",Texas
"Charles, Hansen",Texas
"Andrew, Lane",Texas
"Ruby, Mendoza",Texas
"Kathy, West",Texas
"Alice, Brown",Texas
"Jennifer, Reynolds",Texas
"Teresa, Stephens",Texas
"Douglas, Stanley",Texas
"Shawn, Hayes",Texas
"Joyce, Edwards",Texas
"Annie, Collins",Texas
"Ernest, Woods",Texas
"Denise, Lawson",Texas
"Rebecca, Cunningham",Texas
"Rebecca, Hicks",Texas
"David, Wheeler",Texas
"Julia, Carroll",Texas
"Ruth, Jones",Texas
"Juan, Walker",Texas
"Sharon, Roberts",Texas
"Shawn, Jordan",Texas
"Bobby, Frazier",Texas
"Martin, Simpson",Texas
"Jesse, Garcia",Texas
"Justin, Washington",Texas
"Katherine, Holmes",Texas
"Eric, Nguyen",Texas
"Paul, Walker",Texas
"Ronald, Bishop",Texas
"Timothy, Fernandez",Texas
"Adam, Garcia",Texas
"Gloria, Diaz",Texas
"Lawrence, Washington",Texas
"Juan, Morgan",Texas
"Christine, Murray",Texas
"Jeremy, Nguyen",Texas
"Frank, Hughes",Texas
"William, Fernandez",Texas
"Jeffrey, Mason",Texas
"Theresa, Torres",Texas
"Christina, Perry",Texas
"Catherine, Anderson",Texas
"Julie, Turner",Texas
"Jesse, Gardner",Texas
"John, Gray",Texas
"Rachel, Jackson",Texas
"Nancy, Roberts",Texas
"James, Payne",Texas
"James, Graham",Utah
"Kathy, Collins",Utah
"Lori, Jones",Utah
"Julia, Williams",Utah
"Joe, Gray",Utah
"Arthur, Lawson",Utah
"Angela, Ford",Utah
"Christina, Watkins",Vermont
"Jacqueline, Morales",Virginia
"Richard, White",Virginia
"Anthony, Day",Virginia
"William, Richardson",Virginia
"Robert, Hart",Virginia
"David, Davis",Virginia
"Lori, Watson",Virginia
"Janet, Brooks",Virginia
"Lillian, Kim",Virginia
"Phyllis, Clark",Virginia
"Charles, Matthews",Virginia
"Earl, Ruiz",Virginia
"Frank, Willis",Virginia
"Virginia, Howell",Virginia
"Margaret, Hughes",Virginia
"Martha, Bell",Virginia
"Raymond, Bailey",Virginia
"Willie, Kennedy",Virginia
"Terry, Peters",Virginia
"Julie, Mason",Virginia
"Anne, Franklin",Virginia
"Jane, Simmons",Virginia
"Dennis, Lopez",Virginia
"Helen, Reyes",Virginia
"Susan, Greene",Virginia
