first_name,last_name,city,state,shirt_or_hat,quiz_points,team,signup,id_number,company
William,Martinez,Concord,CA,hat,70,green,2014-02-24,10012,Roberts and Sons
Angela,Elliott,Fullerton,CA,shirt,90,red,2014-12-03,10013,Doyle-Murazik
Deborah,Johnston,Pasadena,CA,hat,20,blue,2015-05-20,10032,
Frank,Gutierrez,San Jose,CA,shirt,30,green,2016-10-02,10033,Stehr LLC
Justin,Snyder,San Francisco,CA,shirt,80,green,2016-02-23,10039,Littel-Wilderman
Norma,Robertson,Stockton,CA,shirt,100,red,2015-05-01,10043,"Mante, Powlowski and Ryan"
Daniel,Woods,Glendale,CA,shirt,70,blue,2016-06-27,10062,Weber Inc
Bruce,Ross,Stockton,CA,hat,50,red,2014-12-06,10070,"Schaden, Grant and Hoeger"
Theresa,Fox,Sacramento,CA,hat,80,blue,2015-05-12,10071,Zieme Group
Keith,Perez,Long Beach,CA,hat,30,green,2016-01-29,10072,"Crooks, Roberts and Beahan"
Michael,Wagner,Santa Barbara,CA,shirt,80,red,2014-06-03,10073,Wilkinson-O'Keefe
Kathy,Ellis,Simi Valley,CA,hat,80,blue,2014-03-28,10074,Treutel Inc
Charles,Green,Los Angeles,CA,hat,90,green,2014-12-27,10081,Lehner-Lubowitz
Benjamin,Hernandez,Garden Grove,CA,hat,80,green,2014-10-29,10093,Wintheiser and Sons
Raymond,Stephens,Modesto,CA,shirt,70,red,2015-08-13,10097,Dare-Muller
Linda,Rivera,San Diego,CA,hat,50,blue,2015-05-18,10104,Lehner-Jenkins
Irene,Gibson,Sacramento,CA,shirt,80,blue,2014-02-28,10107,"Glover, Batz and Williamson"
Michelle,Roberts,Long Beach,CA,hat,60,green,2015-05-29,10108,"Vandervort, Paucek and Sipes"
Ruth,Alvarez,Concord,CA,shirt,20,green,2014-06-09,10141,Schiller LLC
Sean,Webb,Los Angeles,CA,hat,70,red,2013-11-17,10151,Stark LLC
Patrick,Barnes,Redwood City,CA,shirt,40,green,2015-08-01,10168,Russel-Bartoletti
Edward,Hicks,Bakersfield,CA,hat,10,red,2014-02-04,10187,"Parker, Block and Hyatt"
James,Little,Fresno,CA,shirt,30,blue,2014-06-18,10194,Simonis Inc
Kenneth,Gomez,Van Nuys,CA,shirt,90,green,2016-06-20,10195,
Helen,Stanley,Van Nuys,CA,shirt,100,red,2016-07-01,10196,"Swaniawski, Weber and Rolfson"
Edward,Sanchez,San Francisco,CA,hat,100,red,2014-01-30,10208,Koch-Hudson
Barbara,Bryant,San Diego,CA,hat,90,red,2014-10-01,10220,Jerde Inc
Tammy,Wagner,Fresno,CA,hat,90,green,2015-10-20,10222,
Steve,West,San Francisco,CA,shirt,70,blue,2015-11-23,10230,"Rice, Crist and Kulas"
Barbara,Howard,Sacramento,CA,shirt,90,red,2014-06-14,10241,Collier and Sons
Ruby,Burton,San Francisco,CA,hat,30,red,2014-10-07,10244,"Kris, Hackett and Murray"
Ashley,Rice,Irvine,CA,hat,50,blue,2015-03-14,10248,"Heidenreich, Renner and Schulist"
Irene,Morgan,San Francisco,CA,hat,100,blue,2014-09-08,10257,"Hermann, Keeling and Ernser"
Sean,Reed,Santa Rosa,CA,shirt,80,red,2016-03-30,10274,Huel-Littel
Keith,Pierce,Fresno,CA,hat,90,green,2015-06-25,10276,
Timothy,Powell,Stockton,CA,shirt,10,red,2013-12-18,10298,Morissette-Auer
Ashley,Reid,San Diego,CA,shirt,90,green,2016-01-29,10303,Runolfsson-Emard
Patrick,Watkins,San Francisco,CA,hat,90,blue,2014-04-27,10314,Gutmann LLC
Billy,Banks,San Francisco,CA,shirt,90,green,2016-08-27,10315,Bauch-Kuhn
Mildred,Crawford,Burbank,CA,hat,100,green,2014-10-26,10363,Muller Group
Jason,Mitchell,San Francisco,CA,shirt,70,red,2016-04-01,10364,Krajcik-Gorczany
Jimmy,Gutierrez,San Jose,CA,hat,20,blue,2015-01-05,10377,"Waelchi, Gerhold and Cremin"
Carlos,Hanson,San Francisco,CA,shirt,50,red,2014-01-26,10382,
Phillip,Stone,Inglewood,CA,hat,50,green,2014-07-25,10396,"O'Conner, Zboncak and Hyatt"
Margaret,Myers,Salinas,CA,hat,80,blue,2015-10-18,10398,Toy-Hills
Ashley,Franklin,Ventura,CA,shirt,90,green,2014-11-01,10408,Bahringer LLC
Donna,Hernandez,Sacramento,CA,shirt,80,blue,2016-03-21,10413,Schmitt-Swift
Carol,Robinson,Fresno,CA,shirt,80,green,2015-01-20,10420,"Bauch, Rohan and Davis"
Lois,Cruz,Fullerton,CA,hat,90,blue,2016-03-20,10437,Reichert-Schultz
Carlos,Chapman,Los Angeles,CA,hat,30,red,2016-03-27,10454,"Bernier, Kling and Lindgren"
Anna,Jackson,Visalia,CA,hat,80,blue,2013-11-30,10458,Jakubowski Inc
Maria,Palmer,San Francisco,CA,hat,80,red,2016-04-04,10460,Williamson-Bradtke
Brandon,Jackson,Alhambra,CA,shirt,90,green,2015-04-15,10480,Wyman-Hintz
Jimmy,Simmons,San Francisco,CA,hat,70,blue,2015-05-19,10482,Hayes-Wyman
Donald,Woods,San Jose,CA,hat,70,green,2016-04-26,10486,Adams Inc
Marilyn,Payne,Los Angeles,CA,hat,90,green,2014-10-15,10489,Torp-Kilback
